dropoff_longitude,dropoff_latitude,passenger_count
-74.013,40.731,0.011111111111111112
-74.013,40.733,0.011111111111111112
-74.013,40.737,0.022222222222222223
-74.013,40.741,0.011111111111111112
-74.013,40.742,0.011111111111111112
-74.013,40.743,0.022222222222222223
-74.013,40.745,0.011111111111111112
-74.013,40.746,0.07777777777777778
-74.013,40.747,0.03333333333333333
-74.013,40.75,0.022222222222222223
-74.013,40.754,0.011111111111111112
-74.013,40.756,0.07777777777777778
-74.013,40.761,0.03333333333333333
-74.013,40.763,0.03333333333333333
-74.013,40.764,0.011111111111111112
-74.013,40.765,0.03333333333333333
-74.013,40.771,0.06666666666666667
-74.013,40.772,0.7111111111111111
-74.013,40.773,0.4111111111111111
-74.013,40.774,0.044444444444444446
-74.013,40.775,0.022222222222222223
-74.013,40.778,0.12222222222222222
-74.013,40.779,0.1111111111111111
