dropoff_longitude,dropoff_latitude,week_day,passenger_count
-74.015,40.715,4,117.33333333333333
-74.015,40.715,5,144.75
-74.015,40.715,6,121.41666666666667
-74.015,40.716,0,234.75
-74.015,40.716,1,278.5
-74.015,40.716,2,261.4166666666667
-74.015,40.716,3,269.5
-74.015,40.716,4,261.5
-74.015,40.716,5,338.0
-74.015,40.716,6,289.5
-74.015,40.717,0,95.25
-74.015,40.717,1,112.5
-74.015,40.717,2,102.41666666666667
-74.015,40.717,3,104.91666666666667
-74.015,40.717,4,88.5
-74.015,40.717,5,114.83333333333333
-74.015,40.717,6,118.41666666666667
-74.015,40.718,0,129.41666666666666
-74.015,40.718,1,135.83333333333334
-74.015,40.718,2,138.75
-74.015,40.718,3,143.5
-74.015,40.718,4,139.25
-74.015,40.718,5,198.0
-74.015,40.718,6,163.0
-74.015,40.719,0,0.5833333333333334
-74.015,40.719,1,0.4166666666666667
-74.015,40.719,2,0.08333333333333333
-74.015,40.719,3,0.08333333333333333
-74.015,40.719,4,0.5833333333333334
-74.015,40.719,5,0.4166666666666667
-74.015,40.719,6,0.25
-74.015,40.72,3,0.08333333333333333
-74.015,40.721,3,0.5
-74.015,40.723,1,0.16666666666666666
-74.015,40.725,1,0.5
-74.015,40.725,3,0.16666666666666666
-74.015,40.726,0,0.3333333333333333
-74.015,40.727,6,0.08333333333333333
-74.015,40.731,5,0.08333333333333333
-74.015,40.732,4,0.08333333333333333
-74.015,40.733,4,0.08333333333333333
-74.015,40.734,4,0.08333333333333333
-74.015,40.734,5,0.08333333333333333
-74.015,40.737,0,0.08333333333333333
-74.015,40.74,0,0.08333333333333333
-74.015,40.74,5,0.25
-74.015,40.745,6,0.08333333333333333
-74.015,40.751,3,0.16666666666666666
-74.015,40.753,1,0.08333333333333333
-74.015,40.76,5,0.75
-74.015,40.763,3,0.08333333333333333
-74.015,40.77,5,0.08333333333333333
-74.015,40.771,2,0.08333333333333333
-74.015,40.771,4,0.25
-74.015,40.771,6,0.08333333333333333
-74.015,40.772,4,0.25
-74.015,40.773,3,0.16666666666666666
-74.015,40.773,4,0.08333333333333333
-74.015,40.774,0,0.16666666666666666
-74.015,40.774,2,0.16666666666666666
-74.015,40.774,4,0.08333333333333333
-74.015,40.774,5,0.5
-74.015,40.774,6,0.16666666666666666
-74.015,40.775,0,0.08333333333333333
-74.015,40.775,1,0.16666666666666666
-74.015,40.775,2,0.16666666666666666
-74.015,40.775,4,0.16666666666666666
-74.015,40.775,6,0.16666666666666666
-74.015,40.776,5,0.08333333333333333
-74.015,40.776,6,0.16666666666666666
-74.015,40.777,2,0.16666666666666666
-74.015,40.777,3,0.16666666666666666
-74.015,40.777,4,0.3333333333333333
-74.015,40.777,5,0.08333333333333333
-74.015,40.778,0,0.16666666666666666
-74.015,40.778,1,0.25
-74.015,40.778,2,0.16666666666666666
-74.015,40.778,3,0.16666666666666666
-74.015,40.778,5,0.25
-74.015,40.778,6,0.4166666666666667
-74.015,40.779,0,0.16666666666666666
-74.015,40.779,1,0.25
-74.015,40.779,2,0.25
-74.015,40.779,3,0.3333333333333333
-74.015,40.779,4,0.5
-74.015,40.779,5,0.16666666666666666
-74.015,40.78,5,0.16666666666666666
-74.015,40.781,2,0.08333333333333333
